Institute ID,Name,City,State,Score,Rank
IR-M-S-8890,Indian Institute of Management Ahmedabad,Ahmedabad,Gujarat,83.69,1
IR-M-S-8903,Indian Institute of Management Bangalore,Bengaluru,Karnataka,83.48,2
IR-M-S-8972,Indian Institute of Management Calcutta,Kolkata,West Bengal,80.04,3
IR-M-S-8909,Indian Institute of Management Kozhikode,Kozhikode,Kerala,73.34,4
IR-M-I-1074,Indian Institute of Technology Delhi,New Delhi,Delhi,72.15,5
IR-M-S-8918,Indian Institute of Management Indore,Indore,Madhya Pradesh,71.1,6
IR-M-S-8959,Indian Institute of Management Lucknow,Lucknow,Uttar Pradesh,71.02,7
IR-M-S-132,Xavier Labour Relations Institute (XLRI),Jamshedpur,Jharkhand,69.93,8
IR-M-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,69.5,9
IR-M-U-0306,Indian Institute of Technology Bombay,Mumbai,Maharashtra,68.08,10
IR-M-I-1170,Management Development Institute,Gurugram,Haryana,67.59,11
IR-M-S-8931,"National Institute of Industrial Engineering, Mumbai",Mumbai,Maharashtra,64.52,12
IR-M-U-0456,Indian Institute of Technology Madras,Chennai,Tamil Nadu,64.32,13
IR-M-U-0560,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,63.79,14
IR-M-S-8868,Indian Institute of Management Raipur,Raipur,Chhattisgarh,62.12,15
IR-M-I-1075,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,61.31,16
IR-M-S-8948,Indian Institute of Management Tiruchirappalli,Tiruchirappalli,Tamil Nadu,61.1,17
IR-M-S-8942,Indian Institute of Management Udaipur,Udaipur,Rajasthan,60.94,18
IR-M-I-1044,S. P. Jain Institute of Management & Research,Mumbai,Maharashtra,58.73,19
IR-M-C-19343,Symbiosis Institute of Business Management,Pune,Maharashtra,58.64,20
IR-M-S-8904,Indian Institute of Management Ranchi,Ranchi,Jharkhand,58.26,21
IR-M-N-10,SVKM`s Narsee Monjee Institute of Management Studies,Mumbai,Maharashtra,57.53,22
