Institute ID,Name,City,State,Score,Rank
IR-D-N-15,All India Institute of Medical Sciences,New Delhi,Delhi,92.07,1
IR-D-U-0079,Post Graduate Institute of Medical Education and Research,Chandigarh,Chandigarh,82.62,2
IR-D-C-45654,Christian Medical College,Vellore,Tamil Nadu,75.33,3
IR-D-U-0236,"National Institute of Mental Health & Neuro Sciences, Bangalore",Bangalore,Karnataka,73.62,4
IR-D-N-33,Sanjay Gandhi Postgraduate Institute of Medical Sciences,Lucknow,Uttar Pradesh,72.45,5
IR-D-U-0436,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,69.25,6
IR-D-U-0500,Banaras Hindu University,Varanasi,Uttar Pradesh,67.62,7
IR-D-U-0368,Jawaharlal Institute of Post Graduate Medical Education & Research,Puducherry,Pondicherry,67.42,8
IR-D-U-0523,King George`s Medical University,Lucknow,Uttar Pradesh,64.67,9
IR-D-C-7242,"Kasturba Medical College, Manipal",Manipal,Karnataka,63.6,10
IR-D-U-0266,Sree Chitra Tirunal Institute for Medical Sciences and Technology,Thiruvananthapuram,Kerala,63.04,11
IR-D-U-0106,Institute of Liver and Biliary Sciences,New Delhi,Delhi,61.29,12
IR-D-C-40453,St. John's Medical College,Bengaluru,Karnataka,60.83,13
IR-D-I-1486,Sri Ramachandra Institute of Higher Education and Research,Chennai,Tamil Nadu,58.92,14
IR-D-U-0496,Aligarh Muslim University,Aligarh,Uttar Pradesh,58.1,15
IR-D-C-49008,"Madras Medical College & Government General Hospital, Chennai",Chennai,Tamil Nadu,57.88,16
IR-D-C-6414,Maulana Azad Medical College,Delhi,Delhi,56.35,17
IR-D-C-32922,Vardhman Mahavir Medical College & Safdarjung Hospital,New Delhi,Delhi,56.2,18
IR-D-I-1110,Dr. D. Y. Patil Vidyapeeth,Pune,Maharashtra,55.96,19
IR-D-U-0473,S.R.M. Institute of Science and Technology,Chennai,Tamil Nadu,55.74,20
IR-D-U-0363,Siksha `O` Anusandhan,Bhubaneswar,Odisha,54.13,21
IR-D-C-22461,Lady Hardinge Medical College,New Delhi,Delhi,54.07,22
IR-D-C-7251,"Kasturba Medical College, Mangalore",Mangaluru,Karnataka,53.75,23
IR-D-C-35009,"JSS Medical College, Mysore",Mysore,Karnataka,53.63,24
IR-D-U-0107,Jamia Hamdard,New Delhi,Delhi,53.18,25
IR-D-C-29255,Dayanand Medical College,Ludhiana,Punjab,53.13,26
IR-D-I-1441,Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,52.91,27
IR-D-U-0689,All India Institute of Medical Sciences Jodhpur,Jodhpur,Rajasthan,52.87,28
IR-D-C-29442,Government Medical College & Hospital,Chandigarh,Chandigarh,51.9,29
IR-D-I-1409,University College of Medical Sciences,Delhi,Delhi,51.89,30
IR-D-U-0688,All India Institute of Medical Sciences Bhubaneswar,Khordha,Odisha,51.87,31
IR-D-C-16424,Medical College,Kolkata,West Bengal,51.69,32
IR-D-C-45515,PSG Institute of Medical Sciences & Research,Coimbatore,Tamil Nadu,51.62,33
IR-D-U-0295,Datta Meghe Institute of Medical Sciences,Wardha,Maharashtra,51.52,34
IR-D-U-0168,Maharishi Markandeshwar,Ambala,Haryana,50.96,35
IR-D-U-0356,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,50.36,36
IR-D-C-40345,M. S. Ramaiah Medical College,Bengaluru,Karnataka,50.05,37
IR-D-N-17,Sawai Man Singh Medical College,Jaipur,Rajasthan,49.65,38
IR-D-N-0158,SCB Medical College and Hospital,Cuttack,Odisha,49.42,39
IR-D-U-0443,Annamalai University,Annamalainagar,Tamil Nadu,49.13,40
IR-D-U-0321,"Padmashree Dr. D. Y. Patil Vidyapeeth, Mumbai",Mumbai,Maharashtra,48.07,41
IR-D-U-0311,Krishna Institute of Medical Sciences Deemed University,Karad,Maharashtra,47.11,42
IR-D-C-30698,Narayana Medical College,Sri Potti Sriramulu Nellore,Andhra Pradesh,46.5,43
IR-D-C-9435,Regional Institute of Medical Sciences,Imphal West,Manipur,46.5,43
IR-D-C-19319,K. S. Hegde Medical Academy,Mangaluru,Karnataka,46.49,45
IR-D-C-47762,Mahatma Gandhi Medical College and Research Institute,Puducherry,Pondicherry,46.08,46
IR-D-C-24503,Jawaharlal Nehru Medical College,Belagavi,Karnataka,46.04,47
IR-D-C-47556,"Tirunelveli Medical College, Tirunelveli",Tirunelveli -,Tamil Nadu,46.03,48
IR-D-C-7049,Chettinad Hospital and Research Institute,"Kelambakkam, Chengalpattu District",Tamil Nadu,45.32,49
IR-D-I-1325,"Shri B.M.Patil Medical College, Hospital & Research Centre",Vijayapura,Karnataka,45.11,50
