ID,Name,City,State,Score,Rank
IR-O-U-0456,Indian Institute of Technology Madras,Chennai,Tamil Nadu,86.76,1
IR-O-U-0220,Indian Institute of Science,Bengaluru,Karnataka,82.67,2
IR-O-U-0306,Indian Institute of Technology Bombay,Mumbai,Maharashtra,82.52,3
IR-O-I-1074,Indian Institute of Technology Delhi,New Delhi,Delhi,81.75,4
IR-O-I-1075,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,76.5,5
IR-O-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,75.62,6
IR-O-U-0560,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,71.4,7
IR-O-U-0053,Indian Institute of Technology Guwahati,Guwahati,Assam,69.26,8
IR-O-U-0109,Jawaharlal Nehru University,New Delhi,Delhi,66.61,9
IR-O-U-0500,Banaras Hindu University,Varanasi,Uttar Pradesh,63.1,10
IR-O-U-0570,Calcutta University,Kolkata,West Bengal,61.45,11
IR-O-U-0436,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,59.87,12
IR-O-U-0108,Jamia Millia Islamia,New Delhi,Delhi,59.54,13
IR-O-U-0575,Jadavpur University,Kolkata,West Bengal,58.93,14
IR-O-U-0234,Manipal Academy of Higher Education,Manipal,Karnataka,58.91,15
IR-O-U-0013,Indian Institute of Technology Hyderabad,Hyderabad,Telangana,58.53,16
IR-O-U-0042,University of Hyderabad,Hyderabad,Telangana,57.67,17
IR-O-U-0496,Aligarh Muslim University,Aligarh,Uttar Pradesh,57.38,18
IR-O-U-0120,University of Delhi,Delhi,Delhi,56.03,19
IR-O-U-0323,Savitribai Phule Pune University,Pune,Maharashtra,55.83,20
IR-O-U-0490,Vellore Institute of Technology,Vellore,Tamil Nadu,55.39,21
IR-O-U-0447,Bharathiar University,Coimbatore,Tamil Nadu,55.38,22
IR-O-U-0467,National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,54.97,23
IR-O-U-0305,Indian Institute of Science Education & Research Pune,Pune,Maharashtra,54.47,24
IR-O-U-0439,Anna University,Chennai,Tamil Nadu,54.42,25
IR-O-U-0205,Indian Institute of Technology (Indian School of Mines),Dhanbad,Jharkhand,53.88,26
IR-O-U-0308,Institute of Chemical Technology,Mumbai,Maharashtra,53.76,27
IR-O-U-0701,Indian Institute of Technology (Banaras Hindu University) Varanasi,Varanasi,Uttar Pradesh,53.74,28
IR-O-U-0391,Birla Institute of Technology & Science -Pilani,Pilani,Rajasthan,53.32,29
IR-O-U-0273,Indian Institute of Technology Indore,Indore,Madhya Pradesh,53.22,30
IR-O-U-0378,Indian Institute of Technology Ropar,Rupnagar,Punjab,52.89,31
IR-O-U-0237,National Institute of Technology Karnataka,Surathkal,Karnataka,52.88,32
IR-O-U-0139,Indian Institute of Technology Gandhinagar,Gandhinagar,Gujarat,52.77,33
IR-O-U-0235,Mysore University,Mysuru,Karnataka,50.49,34
